lei,year,application_count,approval_count,denial_count,approval_rate,denial_rate,du_share,lpa_share,internal_aus_share,other_aus_share,external_aus_coverage,external_aus_coverage_alt_any_aus_reported,cert,rssd,entity,type,insure,name,assets,assetl,org,assorg,namet,state,fore,valid_fdic_cert,asset,astempm,bkclass,esal,id,nclnlsr,nonixay,numemp,rbc1aaj,roa,specgrp,stalp,matched_fdic_financials
254900HA4DQWAE0W3342,2024,2678,2450,228,0.9148618371919343,0.08513816280806571,0.6691560866318148,0.3174010455563854,0.0,0.01344286781179985,0.9865571321882002,0.9865571321882002,57512.0,3871751.0,3138146.0,11.0,7.0,WESTERN ALLI BK,80862067.0,70852671.0,2349815.0,80934241.0,"AMERIHOME MORTGAGE COMPANY, LL",4.0,SMB,True,80862067.0,22.517980228348648,SM,611048.0,57512_20241231,1.8800466384191468,2.6095333348396355,3591.0,8.239860585127264,0.9973463750748656,4.0,AZ,True
254900HA4DQWAE0W3342,2025,2765,2570,195,0.9294755877034359,0.0705244122965642,0.7779385171790235,0.2047016274864376,0.0,0.01735985533453888,0.9826401446654611,0.9826401446654611,57512.0,3871751.0,3138146.0,11.0,7.0,WESTERN ALLI BK,92735703.0,80862067.0,2349815.0,92793507.0,"AMERIHOME MORTGAGE COMPANY, LL",4.0,SMB,True,92735703.0,24.30817903014417,SM,731446.0,57512_20251231,2.4102979204376034,2.4448886530180087,3815.0,8.253763559047824,1.1029357259106718,4.0,AZ,True
254900L67A0ZTJRS6614,2023,765,693,72,0.9058823529411765,0.09411764705882353,0.7372549019607844,0.07973856209150326,0.0,0.1830065359477124,0.8169934640522876,0.8169934640522876,15019.0,216922.0,216922.0,10.0,7.0,FIRST BK,12114629.0,10625188.0,1076431.0,12116326.0,FIRST BANK,37.0,SMB,True,12114629.0,8.525425052779733,SM,139851.0,15019_20231231,0.3950559619682588,2.1961886832660165,1421.0,10.825599608254825,0.9467574388682558,4.0,NC,True
254900L67A0ZTJRS6614,2024,514,478,36,0.9299610894941635,0.07003891050583658,0.6108949416342413,0.08949416342412451,0.0,0.29961089494163423,0.7003891050583658,0.7023346303501945,15019.0,216922.0,216922.0,10.0,7.0,FIRST BK,12147931.0,12114629.0,1076431.0,12149926.0,FIRST BANK,37.0,SMB,True,12147931.0,8.86063530269876,SM,140022.0,15019_20241231,0.3923034020367335,1.995054359684715,1371.0,10.941737890991542,0.6929436424876322,4.0,NC,True
254900L67A0ZTJRS6614,2025,519,486,33,0.9364161849710982,0.06358381502890173,0.7398843930635838,0.03275529865125241,0.0,0.22736030828516376,0.7726396917148362,0.7726396917148363,15019.0,216922.0,216922.0,10.0,7.0,FIRST BK,12659342.0,12147931.0,1076431.0,12670766.0,FIRST BANK,37.0,SMB,True,12659342.0,9.35649815225425,SM,144184.0,15019_20251231,0.41596942295425,1.9649346561762997,1353.0,11.076498445616586,0.94217961678917,4.0,NC,True
254900MQ4O1DX3N88207,2023,663,583,80,0.8793363499245852,0.12066365007541478,0.0015082956259426848,0.579185520361991,0.0,0.4193061840120664,0.5806938159879337,0.5806938159879336,2720.0,509811.0,509811.0,10.0,7.0,COMMUNITY TR BK INC,5733770.0,5351295.0,1070644.0,5769696.0,"COMMUNITY TRUST BANK, INC.",21.0,SMB,True,5733770.0,6.225591748099892,SM,64975.0,2720_20231231,0.3447988155193038,2.0659347169325373,921.0,13.219853643016227,1.4046224849048687,4.0,KY,True
254900MQ4O1DX3N88207,2024,622,534,88,0.8585209003215434,0.1414790996784566,0.0,0.5434083601286174,0.0,0.4565916398713826,0.5434083601286174,0.5434083601286174,2720.0,509811.0,509811.0,10.0,7.0,COMMUNITY TR BK INC,6153523.0,5733770.0,1070644.0,6193245.0,"COMMUNITY TRUST BANK, INC.",21.0,SMB,True,6153523.0,6.96099886877828,SM,69948.0,2720_20241231,0.5947640879812233,2.029430993800434,884.0,13.288155443555237,1.3793843276218865,4.0,KY,True
254900MQ4O1DX3N88207,2025,753,662,91,0.8791500664010624,0.12084993359893759,0.0,0.5710491367861886,0.0,0.42895086321381143,0.5710491367861886,0.5710491367861885,2720.0,509811.0,509811.0,10.0,7.0,COMMUNITY TR BK INC,6642331.0,6153523.0,1070644.0,6684138.0,"COMMUNITY TRUST BANK, INC.",21.0,SMB,True,6642331.0,7.522458663646659,SM,73983.0,2720_20251231,0.3914484388945555,2.016272208083632,883.0,13.18763342433118,1.5045937084151773,4.0,KY,True
254900Q6YS0NMCYAH669,2024,506,477,29,0.9426877470355731,0.05731225296442688,0.0,0.6837944664031621,0.0,0.31620553359683795,0.6837944664031621,0.6837944664031621,609.0,433608.0,433608.0,10.0,7.0,TOMPKINS CMNTY BK,8069333.0,7773612.0,2367921.0,8109080.0,TOMPKINS COMMUNITY BANK,36.0,NMB,True,8069333.0,9.913185503685504,NM,104489.0,609_20241231,0.8450441716686694,2.167317357159042,814.0,8.770047380055432,0.9202653519815588,4.0,NY,True
254900Q6YS0NMCYAH669,2025,636,609,27,0.9575471698113207,0.04245283018867924,0.0,0.7358490566037735,0.0,0.2641509433962264,0.7358490566037735,0.7358490566037736,609.0,433608.0,433608.0,10.0,7.0,TOMPKINS CMNTY BK,8678169.0,8069333.0,2367921.0,8678169.0,TOMPKINS COMMUNITY BANK,36.0,NMB,True,8678169.0,10.294387900355872,NM,111012.0,609_20251231,0.7387107386568069,2.1741378524349835,843.0,8.92268235598575,0.3877354665182267,4.0,NY,True
